ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600016.SH,20200123,6.23,6.25,6.08,6.08,6.26,-0.18,-2.8754,1172841.46,719120.752
600016.SH,20200122,6.26,6.33,6.21,6.26,6.25,0.01,0.16,611250.04,382340.153
600016.SH,20200121,6.3,6.31,6.25,6.25,6.32,-0.07,-1.1076,620174.23,388512.368
600016.SH,20200120,6.29,6.32,6.29,6.32,6.29,0.03,0.4769,451507.84,284871.56
600016.SH,20200117,6.31,6.34,6.27,6.29,6.3,-0.01,-0.1587,444723.68,280207.44
